"id","title","slug","createdAt","updatedAt"
1,"Drama","drama","2023-01-30 04:42:11","2023-01-30 04:42:11"
2,"Musik","musik","2023-01-30 04:42:26","2023-01-30 04:42:26"
3,"Thriller","thriller","2023-01-30 04:43:18","2023-01-30 04:43:18"
4,"Børne - Familiefilm","boerne-familiefilm","2023-01-30 04:43:34","2023-01-30 04:43:34"
5,"Science fiction","science-fiction","2023-01-30 04:43:48","2023-01-30 04:43:48"
6,"Komedie","komedie","2023-01-30 04:44:03","2023-01-30 04:44:03"
7,"Action","action","2023-01-30 04:44:14","2023-01-30 04:44:14"
8,"Western","western","2023-01-30 04:44:24","2023-01-30 04:44:24"
9,"Adventure","adventure","2023-01-30 04:44:36","2023-01-30 04:44:36"
10,"Walt Disney - Pixar","walt-disney","2023-01-30 04:44:51","2023-01-30 04:44:51"
11,"Danske film","danske-film","2023-01-30 04:45:03","2023-01-30 04:45:03"
12,"Gysere","gysere","2023-01-30 04:45:13","2023-01-30 04:45:13"
13,"Romantik","romantik","2023-01-30 04:45:25","2023-01-30 04:45:25"
14,"Vintage","vintage","2023-01-30 04:45:36","2023-01-30 04:45:36"
15,"Agent 007","agent-007","2023-01-30 04:45:48","2023-01-30 04:45:48"
16,"Krigsfilm","krigsfilm","2023-01-30 04:46:00","2023-01-30 04:46:00"
17,"Dokumentar","dokumentar","2023-01-30 04:46:10","2023-01-30 04:46:10"
18,"Krimi - Thriller","krimi-thriller","2023-01-30 04:46:33","2023-01-30 04:46:33"
19,"Store Filmplakater","store-filmplakater","2023-01-30 04:46:53","2023-01-30 04:46:53"
20,"Karatefilm","karatefilm","2023-01-30 04:47:04","2023-01-30 04:47:04"
22,"Marvel - DC Comics","marvel-dc-comics","2023-01-30 04:53:14","2023-01-30 04:53:14"
23,"Film Programmer","film-programmer","2023-01-30 04:55:28","2023-01-30 04:55:28"
